company,website,symbol,dividend,announcement_date,record_date,ex_date,pay_date
Alliance Resource Partners LP,http://www.arlp.com,ARLP,0.525,2018-10-26,2018-11-07,2018-11-06,2018-11-14
AMCON Distributing Co,http://www.amcon.com,DIT,0.18,2018-10-23,2018-11-07,2018-11-06,2018-11-27
Aptiv PLC,http://www.aptiv.com,APTV,0.22,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Archrock Inc,http://www.archrock.com,AROC,0.132,2018-10-25,2018-11-07,2018-11-06,2018-11-14
BankFinancial Corp,http://bankfinancial.com,BFIN,0.1,2018-10-26,2018-11-07,2018-11-06,2018-11-23
BGC Partners Inc,http://www.bgcpartners.com,BGCP,0.18,2018-10-30,2018-11-07,2018-11-06,2018-11-28
Cabot Oil & Gas Corp,http://www.cabotog.com,COG,0.07,2018-10-26,2018-11-07,2018-11-06,2018-11-16
Columbia Banking System Inc,http://www.columbiabank.com,COLB,0.26,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Columbia Banking System Inc,http://www.columbiabank.com,COLB,0.14,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Commercial Metals Co,http://www.cmc.com,CMC,0.12,2018-10-23,2018-11-07,2018-11-06,2018-11-21
Crestwood Equity Partners LP,http://www.crestwoodlp.com,CEQP,0.6,2018-10-18,2018-11-07,2018-11-06,2018-11-14
Cypress Energy Partners LP,http://www.cypressenergy.com,CELP,0.21,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Delta Air Lines Inc,http://www.delta.com,DAL,0.35,2018-10-24,2018-11-07,2018-11-06,2018-11-28
Employers Holdings Inc,http://www.employers.com,EIG,0.2,2018-10-24,2018-11-07,2018-11-06,2018-11-21
Enbridge Energy Partners LP,http://www.enbridgepartners.com,EEP,0.35,2018-10-24,2018-11-07,2018-11-06,2018-11-14
First Bancshares Inc,http://www.thefirstbank.com,FBMS,0.05,2018-10-24,2018-11-07,2018-11-06,2018-11-23
First Mid-Illinois Bancshares Inc,http://www.firstmid.com,FMBH,0.36,2018-10-25,2018-11-07,2018-11-06,2018-11-14
FirstEnergy Corp,http://www.firstenergycorp.com,FE,0.36,2018-09-18,2018-11-07,2018-11-06,2018-12-01
Golar LNG Partners LP,http://www.golarlngpartners.com,GMLP,0.4042,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Green Bancorp Inc,http://www.greenbank.com,GNBC,0.1,2018-10-22,2018-11-07,2018-11-06,2018-11-21
Heritage Financial Corp,http://www.HF-WA.com,HFWA,0.17,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Heritage Financial Corp,http://www.HF-WA.com,HFWA,0.1,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Intel Corp,http://www.intel.com,INTC,0.3,2018-09-14,2018-11-07,2018-11-06,2018-12-01
Magellan Midstream Partners LP,http://www.magellanlp.com,MMP,0.9775,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Marketaxess Holdings Inc,http://www.marketaxess.com,MKTX,0.42,2018-10-24,2018-11-07,2018-11-06,2018-11-21
Martin Midstream Partners LP,http://www.martinmidstream.com,MMLP,0.5,2018-10-18,2018-11-07,2018-11-06,2018-11-14
MDC Holdings Inc,http://ir.richmondamerican.com,MDC,0.3,2018-10-22,2018-11-07,2018-11-06,2018-11-21
Mid Penn Bancorp Inc,http://www.midpennbank.com,MPB,0.15,2018-10-25,2018-11-07,2018-11-06,2018-11-26
National Western Life Group Inc,http://www.nationalwesternlife.com,NWLI,0.36,2018-10-23,2018-11-07,2018-11-06,2018-12-03
Natural Resource Partners LP,http://www.nrplp.com,NRP,0.45,2018-10-24,2018-11-07,2018-11-06,2018-11-14
Navios Maritime Partners LP,http://www.navios-mlp.com,NMM,0.02,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Newmark Group Inc,http://www.ngkf.com,NMRK,0.09,2018-10-30,2018-11-07,2018-11-06,2018-11-28
Northern Technologies International Corp,http://www.ntic.com,NTIC,0.12,2018-10-24,2018-11-07,2018-11-06,2018-11-21
Northfield Bancorp Inc,http://www.enorthfield.com,NFBK,0.1,2018-10-24,2018-11-07,2018-11-06,2018-11-21
Richardson Electronics Ltd,http://www.rell.com,RELL,0.06,2018-10-10,2018-11-07,2018-11-06,2018-11-21
Rush Enterprises Inc,http://www.rushenterprises.com,RUSHA,0.12,2018-10-23,2018-11-07,2018-11-06,2018-12-10
Seadrill Partners LLC,http://www.seadrillpartners.com,SDLP,0.1,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Sound Financial Bancorp Inc,http://www.soundcb.com,SFBC,0.14,2018-10-26,2018-11-07,2018-11-06,2018-11-21
Southern Copper Corp,http://www.southerncoppercorp.com,SCCO,0.4,2018-10-19,2018-11-07,2018-11-06,2018-11-21
Summit Midstream Partners LP,http://www.summitmidstream.com,SMLP,0.575,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Two River Bancorp,http://www.tworiverbank.com,TRCB,0.055,2018-10-23,2018-11-07,2018-11-06,2018-11-28
VSE Corp,http://www.vsecorp.com,VSEC,0.08,2018-07-30,2018-11-07,2018-11-06,2018-11-21
West Bancorporation Inc,http://www.westbankstrong.com,WTBA,0.2,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Western New England Bancorp Inc,http://www.westfieldbank.com,WNEB,0.04,2018-10-23,2018-11-07,2018-11-06,2018-11-21
Winmark Corp,http://www.winmarkcorporation.com,WINA,0.15,2018-10-24,2018-11-07,2018-11-06,2018-12-03
Wisdom Tree Investments Inc,http://www.wisdomtree.com,WETF,0.03,2018-10-26,2018-11-07,2018-11-06,2018-11-21
American Airlines Group Inc,http://www.aa.com,AAL,0.1,2018-10-25,2018-11-06,2018-11-05,2018-11-20
American Midstream Partners LP,http://www.americanmidstream.com,AMID,0.1031,2018-10-25,2018-11-06,2018-11-05,2018-11-14
Banco Latinoamericano de Comercio Exterior SA,http://www.bladex.com,BLX,0.385,2018-10-25,2018-11-06,2018-11-05,2018-11-20
Canfor Pulp Products Inc,,CFX:CA,0.0625,2018-10-24,2018-11-06,2018-11-05,2018-11-13
Canfor Pulp Products Inc,,CFX:CA,2.25,2018-10-24,2018-11-06,2018-11-05,2018-11-13
Constellation Brands Inc,http://www.cbrands.com,STZ,0.74,2018-10-03,2018-11-06,2018-11-05,2018-11-20
Delphi Technologies PLC,http://www.delphi.com,DLPH,0.17,2018-10-24,2018-11-06,2018-11-05,2018-11-14
Dime Community Bancshares Inc,http://www.dime.com,DCOM,0.14,2018-10-26,2018-11-06,2018-11-05,2018-11-13
Heritage Commerce Corp,http://www.heritagecommercecorp.com,HTBK,0.11,2018-10-25,2018-11-06,2018-11-05,2018-11-20
Lake Shore Bancorp Inc,http://www.lakeshoresavings.com,LSBK,0.1,2018-10-24,2018-11-06,2018-11-05,2018-11-19
MetLife Inc,http://www.metlife.com,MET,0.42,2018-10-23,2018-11-06,2018-11-05,2018-12-13
New York Community Bancorp Inc,http://www.mynycb.com,NYCB,0.17,2018-10-29,2018-11-06,2018-11-05,2018-11-20
Nextera Energy Partners LP,http://www.nexteraenergypartners.com,NEP,0.45,2018-10-23,2018-11-06,2018-11-05,2018-11-14
People's Utah Bancorp,http://www.peoplesutah.com,PUB,0.11,2018-10-24,2018-11-06,2018-11-05,2018-11-13
Reinsurance Group of America Inc,http://www.rgare.com,RGA,0.6,2018-10-25,2018-11-06,2018-11-05,2018-11-27
Sprague Resources LP,http://www.spragueenergy.com,SRLP,0.6675,2018-10-26,2018-11-06,2018-11-05,2018-11-13
Suburban Propane Partners LP,http://www.suburbanpropane.com,SPH,0.6,2018-10-25,2018-11-06,2018-11-05,2018-11-13
Sunoco LP,http://www.sunocolp.com,SUN,0.8255,2018-10-29,2018-11-06,2018-11-05,2018-11-14
TD Ameritrade Holding Corp,http://www.amtd.com,AMTD,0.3,2018-10-22,2018-11-06,2018-11-05,2018-11-20
Tompkins Financial Corp,http://www.tompkinsfinancial.com,TMP,0.5,2018-10-19,2018-11-06,2018-11-05,2018-11-15
USD Partners LP,http://www.usdpartners.com,USDP,0.3575,2018-10-25,2018-11-06,2018-11-05,2018-11-14
Webster Financial Corp,http://public.websteronline.com,WBS,0.33,2018-10-23,2018-11-06,2018-11-05,2018-11-20
WSFS Financial Corp,http://www.wsfsbank.com,WSFS,0.11,2018-10-23,2018-11-06,2018-11-05,2018-11-20
Access National Corp,http://www.accessnationalbank.com,ANCX,0.17,2018-10-25,2018-11-08,2018-11-07,2018-11-23
Affiliated Managers Group Inc,http://www.amg.com,AMG,0.3,2018-10-29,2018-11-08,2018-11-07,2018-11-21
American Finance Trust Inc,http://www.americanfinancetrust.com,AFIN,0.0916667,2018-10-01,2018-11-08,2018-11-07,2018-11-15
Berkshire Hills Bancorp Inc,http://www.berkshirebank.com,BHLB,0.22,2018-10-17,2018-11-08,2018-11-07,2018-11-21
CONSOL Coal Resources LP,http://www.ccrlp.com,CCR,0.5125,2018-10-25,2018-11-08,2018-11-07,2018-11-15
Energy Transfer LP,http://www.energytransfer.com,ET,0.305,2018-10-29,2018-11-08,2018-11-07,2018-11-19
Entergy Corp,http://www.entergy.com,ETR,0.91,2018-10-26,2018-11-08,2018-11-07,2018-12-03
Falcon Minerals Corp,http://www.falconminerals.com,FLMN,0.095,2018-10-23,2018-11-08,2018-11-07,2018-11-15
Federated Investors Inc,http://www.federatedinvestors.com,FII,0.27,2018-10-25,2018-11-08,2018-11-07,2018-11-15
FS Bancorp Inc,http://www.fsbwa.com,FSBW,0.14,2018-10-25,2018-11-08,2018-11-07,2018-11-21
Guaranty Bancorp,http://www.gbnk.com,GBNK,0.1625,2018-10-29,2018-11-08,2018-11-07,2018-11-15
LPL Financial Holdings Inc,http://www.lpl.com,LPLA,0.25,2018-10-25,2018-11-08,2018-11-07,2018-11-26
Mammoth Energy Services Inc,http://www.mammothenergy.com,TUSK,0.125,2018-10-30,2018-11-08,2018-11-07,2018-11-15
Materion Corp,http://www.materion.com,MTRN,0.105,2018-10-25,2018-11-08,2018-11-07,2018-12-03
Matson Inc,http://www.matson.com,MATX,0.21,2018-10-25,2018-11-08,2018-11-07,2018-12-06
MBT Financial Corp,http://www.mbandt.com,MBTF,0.1,2018-10-25,2018-11-08,2018-11-07,2018-11-15
Navios Maritime Midstream Partners LP,http://www.navios-midstream.com,NAP,0.125,2018-10-24,2018-11-08,2018-11-07,2018-11-14
NGL Energy Partners LP,http://www.nglenergypartners.com,NGL,0.39,2018-10-23,2018-11-08,2018-11-07,2018-11-14
NuStar Energy LP,http://www.nustarenergy.com,NS,0.6,2018-10-29,2018-11-08,2018-11-07,2018-11-14
Oconee Federal Financial Corp,http://www.oconeefederal.com,OFED,0.1,2018-10-29,2018-11-08,2018-11-07,2018-11-21
PCTEL Inc,http://www.pctel.com,PCTI,0.055,2018-10-26,2018-11-08,2018-11-07,2018-11-15
Peapack-Gladstone Financial Corp,http://www.pgbank.com,PGC,0.05,2018-10-26,2018-11-08,2018-11-07,2018-11-23
Resmed Inc,http://www.resmed.com,RMD,0.37,2018-10-25,2018-11-08,2018-11-07,2018-12-13
Standex International Corp,http://www.standex.com,SXI,0.2,2018-10-25,2018-11-08,2018-11-07,2018-11-27
Territorial Bancorp Inc,http://www.territorialsavings.net,TBNK,0.22,2018-10-25,2018-11-08,2018-11-07,2018-11-21
Tower International Inc,http://www.towerinternational.com,TOWR,0.13,2018-10-18,2018-11-08,2018-11-07,2018-12-07
Wintrust Financial Corp,http://www.wintrust.com,WTFC,0.19,2018-10-25,2018-11-08,2018-11-07,2018-11-23
1st Constitution Bancorp,http://www.1stconstitution.com,FCCY,0.075,2018-10-19,2018-11-09,2018-11-08,2018-11-22
American Campus Communities Inc,http://www.americancampus.com,ACC,0.46,2018-10-31,2018-11-12,2018-11-08,2018-11-26
American Electric Power Company Inc,http://www.aep.com,AEP,0.67,2018-10-23,2018-11-09,2018-11-08,2018-12-10
American Water Works Company Inc,http://www.amwater.com,AWK,0.455,2018-10-30,2018-11-12,2018-11-08,2018-12-04
Amerigas Partners LP,http://www.amerigas.com,APU,0.95,2018-10-26,2018-11-09,2018-11-08,2018-11-19
Apple Inc,http://www.apple.com,AAPL,0.73,2018-11-01,2018-11-12,2018-11-08,2018-11-15
Bassett Furniture Industries Inc,http://www.bassettfurniture.com,BSET,0.125,2018-10-04,2018-11-09,2018-11-08,2018-11-23
BB&T Corp,http://www.bbt.com,BBT,0.405,2018-10-22,2018-11-09,2018-11-08,2018-12-03
Bio-Techne Corp,http://www.bio-techne.com,TECH,0.32,2018-10-30,2018-11-09,2018-11-08,2018-11-23
BJ's Restaurants Inc,http://www.bjsrestaurants.com,BJRI,0.12,2018-10-30,2018-11-12,2018-11-08,2018-11-26
Boeing Co,http://www.boeing.com,BA,1.71,2018-10-22,2018-11-09,2018-11-08,2018-12-07
BOK Financial Corp,http://www.bokf.com,BOKF,0.5,2018-11-02,2018-11-12,2018-11-08,2018-11-26
Brinks Co,http://www.brinks.com,BCO,0.15,2018-10-04,2018-11-09,2018-11-08,2018-12-03
Brookline Bancorp Inc,http://www.brooklinebancorp.com,BRKL,0.105,2018-10-24,2018-11-09,2018-11-08,2018-11-23
California Water Service Group,http://www.calwatergroup.com,CWT,0.1875,2018-10-31,2018-11-12,2018-11-08,2018-11-23
Canadian Utilities Ltd,,CU:CA,0.3933,2018-10-11,2018-11-09,2018-11-08,2018-12-01
Capital One Financial Corp,http://www.capitalone.com,COF,0.4,2018-11-01,2018-11-12,2018-11-08,2018-11-23
Cedar Realty Trust Inc,http://www.cedarrealtytrust.com,CDR,0.05,2018-10-22,2018-11-09,2018-11-08,2018-11-20
Charles Schwab Corp,http://www.aboutschwab.com,SCHW,0.13,2018-10-25,2018-11-09,2018-11-08,2018-11-23
Chemed Corp,http://www.chemed.com,CHE,0.3,2018-11-02,2018-11-12,2018-11-08,2018-12-03
Cintas Corp,http://www.cintas.com,CTAS,2.05,2018-10-30,2018-11-09,2018-11-08,2018-12-07
Coca-Cola European Partners PLC,http://www.ccep.com,CCE,0.32,2018-10-29,2018-11-09,2018-11-08,2018-11-20
Columbus McKinnon Corp,http://www.cmworks.com,CMCO,0.05,2018-10-22,2018-11-09,2018-11-08,2018-11-19
Comfort Systems USA Inc,http://www.comfortsystemsusa.com,FIX,0.09,2018-10-25,2018-11-09,2018-11-08,2018-11-20
Consolidated-Tomoka Land Co,http://www.ctlc.com,CTO,0.08,2018-10-17,2018-11-09,2018-11-08,2018-11-30
Costco Wholesale Corp,http://www.costco.com,COST,0.57,2018-10-24,2018-11-09,2018-11-08,2018-11-23
Dana Inc,http://www.dana.com,DAN,0.1,2018-10-24,2018-11-09,2018-11-08,2018-11-30
Dover Motorsports Inc,http://www.dovermotorsports.com,DVD,0.08,2018-10-24,2018-11-12,2018-11-08,2018-12-10
Enterprise Bancorp Inc,http://www.enterprisebanking.com,EBTC,0.145,2018-10-16,2018-11-12,2018-11-08,2018-12-03
First Bank,http://www.firstbanknj.com,FRBA,0.03,2018-10-22,2018-11-09,2018-11-08,2018-11-23
First Defiance Financial Corp,http://www.fdef.com,FDEF,0.17,2018-10-15,2018-11-09,2018-11-08,2018-11-16
First Interstate BancSystem Inc,http://www.fibk.com,FIBK,0.28,2018-10-24,2018-11-09,2018-11-08,2018-11-19
GasLog Ltd,http://www.gaslogltd.com,GLOG,0.15,2018-11-01,2018-11-12,2018-11-08,2018-11-21
Genworth MI Canada Inc,,MIC:CA,0.51,2018-10-30,2018-11-12,2018-11-08,2018-11-29
German American Bancorp Inc,http://www.germanamerican.com,GABC,0.15,2018-10-30,2018-11-10,2018-11-08,2018-11-20
Global Brass and Copper Holdings Inc,http://www.gbcholdings.com,BRSS,0.09,2018-11-01,2018-11-12,2018-11-08,2018-11-21
Global Partners LP,http://www.globalp.com,GLP,0.475,2018-10-26,2018-11-09,2018-11-08,2018-11-14
Gold Resource Corp,http://www.goldresourcecorp.com,GORO,0.0016667,2018-10-25,2018-11-12,2018-11-08,2018-11-23
Great Western Bancorp Inc,http://www.greatwesternbank.com,GWB,0.25,2018-10-25,2018-11-09,2018-11-08,2018-11-21
Heidrick & Struggles International Inc,http://www.heidrick.com,HSII,0.13,2018-10-29,2018-11-09,2018-11-08,2018-11-23
Helmerich and Payne Inc,http://www.hpinc.com,HP,0.71,2018-09-06,2018-11-12,2018-11-08,2018-12-03
Hercules Capital Inc,http://www.htgc.com,HTGC,0.31,2018-11-01,2018-11-12,2018-11-08,2018-11-19
Hercules Capital Inc,http://www.htgc.com,HTGC,0.02,2018-11-01,2018-11-12,2018-11-08,2018-11-19
Highwoods Properties Inc,http://www.highwoods.com,HIW,0.4625,2018-10-18,2018-11-12,2018-11-08,2018-12-04
Hilton Worldwide Holdings Inc,http://www.hiltonworldwide.com,HLT,0.15,2018-10-24,2018-11-09,2018-11-08,2018-12-28
Icahn Enterprises LP,http://www.ielp.com,IEP,1.75,2018-11-01,2018-11-12,2018-11-08,2018-12-18
Interface Inc,http://www.interface.com,TILE,0.065,2018-10-24,2018-11-09,2018-11-08,2018-11-23
International Business Machines Corp,http://www.ibm.com,IBM,1.57,2018-10-30,2018-11-09,2018-11-08,2018-12-10
Investors Bancorp Inc,http://www.myinvestorsbank.com,ISBC,0.11,2018-10-25,2018-11-09,2018-11-08,2018-11-23
J B Hunt Transport Services Inc,http://www.jbhunt.com,JBHT,0.24,2018-10-18,2018-11-09,2018-11-08,2018-11-16
Janus Henderson Group PLC,http://www.hendersongroupplc.com,JHG,0.36,2018-11-02,2018-11-12,2018-11-08,2018-11-30
Lithia Motors Inc,http://www.lithia.com,LAD,0.29,2018-10-24,2018-11-09,2018-11-08,2018-11-23
Macerich Co,http://www.macerich.com,MAC,0.75,2018-10-25,2018-11-09,2018-11-08,2018-12-03
Macquarie Infrastructure Corp,http://www.macquarie.com,MIC,1,2018-10-31,2018-11-12,2018-11-08,2018-11-15
Marine Products Corp,http://www.marineproductscorp.com,MPX,0.1,2018-10-24,2018-11-09,2018-11-08,2018-12-10
Marine Products Corp,http://www.marineproductscorp.com,MPX,0.1,2018-10-24,2018-11-09,2018-11-08,2018-12-10
Marlin Business Services Corp,http://www.marlinfinance.com,MRLN,0.14,2018-11-01,2018-11-12,2018-11-08,2018-11-23
Mueller Water Products Inc,http://www.muellerwaterproducts.com,MWA,0.05,2018-10-29,2018-11-09,2018-11-08,2018-11-20
Murphy Oil Corp,http://www.murphyoilcorp.com,MUR,0.25,2018-10-03,2018-11-12,2018-11-08,2018-12-03
National Instruments Corp,http://www.ni.com,NATI,0.23,2018-10-25,2018-11-12,2018-11-08,2018-12-03
New Media Investment Group Inc,http://www.newmediainv.com,NEWM,0.38,2018-10-31,2018-11-12,2018-11-08,2018-11-20
Northeast Bancorp,,NBN,0.01,2018-10-29,2018-11-09,2018-11-08,2018-11-23
Northstar Realty Europe Corp,http://www.nrecorp.com,NRE,0.15,2018-11-02,2018-11-12,2018-11-08,2018-11-16
Nutrisystem Inc,http://www.nutrisystem.com,NTRI,0.25,2018-10-30,2018-11-09,2018-11-08,2018-11-19
Oasis Midstream Partners LP,http://www.oasismidstream.com,OMP,0.43,2018-10-30,2018-11-09,2018-11-08,2018-11-27
Olin Corp,http://www.olin.com,OLN,0.2,2018-10-25,2018-11-09,2018-11-08,2018-12-10
Oppenheimer Holdings Inc,http://www.opco.com,OPY,0.11,2018-10-26,2018-11-09,2018-11-08,2018-11-23
Oritani Financial Corp,http://www.oritani.com,ORIT,0.25,2018-10-29,2018-11-09,2018-11-08,2018-11-19
Papa John's International Inc,http://www.papajohns.com,PZZA,0.225,2018-11-01,2018-11-12,2018-11-08,2018-11-23
Parker-Hannifin Corp,http://www.parker.com,PH,0.76,2018-10-24,2018-11-09,2018-11-08,2018-12-07
Penske Automotive Group Inc,http://www.penskeautomotive.com,PAG,0.37,2018-10-17,2018-11-12,2018-11-08,2018-12-04
Pfizer Inc,http://www.pfizer.com,PFE,0.34,2018-09-27,2018-11-09,2018-11-08,2018-12-03
Pivot Technology Solutions Inc,,PTG:CA,0.04,2018-10-31,2018-11-12,2018-11-08,2018-11-27
PPG Industries Inc,http://www.ppg.com,PPG,0.48,2018-10-18,2018-11-12,2018-11-08,2018-12-12
Rockwell Automation Inc,http://www.rockwellautomation.com,ROK,0.97,2018-11-01,2018-11-12,2018-11-08,2018-12-10
Rollins Inc,http://www.rollins.com,ROL,0.14,2018-10-23,2018-11-09,2018-11-08,2018-12-10
Rollins Inc,http://www.rollins.com,ROL,0.14,2018-10-23,2018-11-09,2018-11-08,2018-12-10
RPC Inc,http://www.rpc.net,RES,0.1,2018-10-24,2018-11-09,2018-11-08,2018-12-10
RPC Inc,http://www.rpc.net,RES,0.07,2018-10-24,2018-11-09,2018-11-08,2018-12-10
SandRidge Mississippian Trust I,http://sdt.investorhq.businesswire.com,SDT,0.0442,2018-10-25,2018-11-09,2018-11-08,2018-11-23
Sandridge Mississippian Trust II,,SDR,0.049,2018-10-25,2018-11-09,2018-11-08,2018-11-23
SandRidge Permian Trust,http://investors.sandridgeenergy.com,PER,0.115,2018-10-25,2018-11-09,2018-11-08,2018-11-23
Santander Consumer USA Holdings Inc,http://www.santanderconsumerusa.com,SC,0.2,2018-10-31,2018-11-10,2018-11-08,2018-11-15
